#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0238685	10.1242/bio.029454	4	bio029454	Biology open	paper	29615416	-	7
FBrf0233701	10.1242/bio.020636	10	1530--1534	Biology open	paper	27628033	-	5
FBrf0220179	10.1242/bio.2012047	3	182--196	Biology open	paper	23213409	-	1
FBrf0223690	10.1242/bio.20136619	12	1412--1420	Biology open	paper	24285708	-	2
FBrf0234000	10.1242/bio.017525	11	1648--1661	Biology open	paper	27737823	-	5
FBrf0227777	10.1242/bio.20149936	3	301--311	Biology open	paper	25661871	-	4
FBrf0220198	10.1242/bio.2012448	4	362--375	Biology open	paper	23213426	-	1
FBrf0226711	10.1242/bio.20149092	11	1011--1019	Biology open	paper	25305037	-	3
FBrf0228986	10.1242/bio.20148045	7	776--782	Biology open	paper	25948754	-	4
FBrf0220121	10.1242/bio.20122154	10	994--1005	Biology open	paper	23213377	-	1
FBrf0218722	10.1242/bio.2012885	5	488--497	Biology open	paper	23213441	-	1
FBrf0222413	10.1242/bio.20134788	8	829--837	Biology open	paper	23951409	-	2
FBrf0239842	10.1242/bio.037705	8	bio037705	Biology open	erratum	30135077	FBrf0239420	7
FBrf0237211	10.1242/bio.029728	11	1698--1706	Biology open	paper	29141954	-	6
FBrf0220576	10.1242/bio.20122915	1	18--29	Biology open	paper	23336073	-	2
FBrf0231288	10.1242/bio.016584	3	237--251	Biology open	paper	26879465	-	5
FBrf0238163	10.1242/bio.029637	2	bio029637	Biology open	paper	29437043	-	7
FBrf0235047	10.1242/bio.024661	3	381--389	Biology open	paper	28202467	-	6
FBrf0239971	10.1242/bio.035964	9	bio035964	Biology open	paper	30115618	-	7
FBrf0227778	10.1242/bio.201410553	3	285--300	Biology open	paper	25661868	-	4
FBrf0228467	10.1242/bio.201410199	5	649--660	Biology open	paper	25836675	-	4
FBrf0241375	10.1242/bio.036939	2	bio036939	Biology open	paper	30635267	-	8
FBrf0235257	10.1242/bio.023994	4	471--480	Biology open	paper	28202465	-	6
FBrf0225884	10.1242/bio.20148524	8	711--717	Biology open	paper	24996925	-	3
FBrf0240180	10.1242/bio.034710	9	bio034710	Biology open	paper	30262549	-	7
FBrf0223802	10.1242/bio.20137187	1	72--80	Biology open	paper	24357227	-	3
FBrf0241193	10.1242/bio.039552	1	bio039552	Biology open	paper	30598482	-	8
FBrf0224708	10.1242/bio.20147682	4	271--280	Biology open	paper	24659249	-	3
FBrf0241124	10.1242/bio.038984	1	bio038984	Biology open	paper	30530809	-	8
FBrf0225628	10.1242/bio.20148318	7	669--676	Biology open	paper	24972868	-	3
FBrf0234808	10.1242/bio.022186	2	141--147	Biology open	paper	28011627	-	6
FBrf0237500	10.1242/bio.025940	12	1876--1888	Biology open	paper	29122742	-	6
FBrf0236321	10.1242/bio.023606	8	1155--1164	Biology open	paper	28642242	-	6
FBrf0238686	10.1242/bio.030361	4	bio030361	Biology open	paper	29685999	-	7
FBrf0226497	10.1242/bio.20149183	10	1005--1010	Biology open	paper	25260919	-	3
FBrf0221063	10.1242/bio.20133327	3	314--323	Biology open	paper	23519377	-	2
FBrf0220584	10.1242/bio.20122725	1	1--9	Biology open	paper	23336071	-	2
FBrf0233999	10.1242/bio.021196	11	1674--1679	Biology open	paper	27742609	-	5
FBrf0240367	10.1242/bio.038000	10	bio038000	Biology open	paper	30327366	-	7
FBrf0229873	10.1242/bio.013334	10	1316--1325	Biology open	paper	26405051	-	4
FBrf0224110	10.1242/bio.20147369	2	152--160	Biology open	paper	24463366	-	3
