#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0220446	10.1242/jeb.076216	2	253--259	Journal of Experimental Biology	paper	22996448	-	216
FBrf0210761	10.1242/jeb.026526	11	1886--1900	Journal of Experimental Biology	paper	20472776	-	213
FBrf0239511	10.1242/jeb.179747	14	jeb179747	Journal of Experimental Biology	paper	29798846	-	221
FBrf0191097	10.1242/jeb.01911	23	4363--4376	Journal of Experimental Biology	paper	16339857	-	208
FBrf0222345	10.1242/jeb.088138	17	3350--3357	Journal of Experimental Biology	paper	23685974	-	216
FBrf0078308	-	-	421--428	Journal of Experimental Biology	paper	7852912	-	197
FBrf0174867	10.1242/jeb.00898	8	1323--1334	Journal of Experimental Biology	paper	15010483	-	207
FBrf0035226	-	-	121--136	Journal of Experimental Biology	paper	7420011	-	87
FBrf0137002	-	11	1869--1881	Journal of Experimental Biology	paper	11441029	-	204
FBrf0050430	-	-	21--41	Journal of Experimental Biology	paper	2559138	-	147
FBrf0211022	10.1242/jeb.043190	13	2256--2265	Journal of Experimental Biology	paper	20543124	-	213
FBrf0206780	10.1242/jeb.024513	3	387--400	Journal of Experimental Biology	review	19151214	-	212
FBrf0152166	-	20	3241--3249	Journal of Experimental Biology	paper	12235202	-	205
FBrf0195113	10.1242/jeb.02397	Pt 17	3293--3300	Journal of Experimental Biology	paper	16916965	-	209
FBrf0180454	10.1242/jeb.01284	Pt 25	4463--4471	Journal of Experimental Biology	paper	15557031	-	207
FBrf0240746	10.1242/jeb.187989	22	jeb187989	Journal of Experimental Biology	paper	30254027	-	221
FBrf0202990	10.1242/jeb.007864	21	3707--3719	Journal of Experimental Biology	paper	17951411	-	210
FBrf0216629	10.1242/jeb.059535	23	4021--4029	Journal of Experimental Biology	paper	22071194	-	214
FBrf0079898	-	-	263--281	Journal of Experimental Biology	review	7823027	-	196
FBrf0230322	10.1242/jeb.125468	23	3855--3861	Journal of Experimental Biology	paper	26486360	-	218
FBrf0232516	10.1242/jeb.133652	11	1760--1771	Journal of Experimental Biology	paper	26994176	-	219
FBrf0004737	-	-	278--285	Journal of Experimental Biology	paper	-	-	16
FBrf0018821	-	-	431--443	Journal of Experimental Biology	paper	-	-	46
FBrf0220544	10.1242/jeb.078311	3	399--406	Journal of Experimental Biology	paper	23038728	-	216
FBrf0238426	10.1242/jeb.174904	6	jeb174904	Journal of Experimental Biology	paper	29367271	-	221
FBrf0191093	10.1242/jeb.01999	2	364--371	Journal of Experimental Biology	paper	16391358	-	209
FBrf0226063	10.1242/jeb.103309	17	3122--3132	Journal of Experimental Biology	paper	24948636	-	217
FBrf0241418	10.1242/jeb.191213	3	jeb191213	Journal of Experimental Biology	paper	30733260	-	222
FBrf0229683	10.1242/jeb.125849	18	2927--2934	Journal of Experimental Biology	paper	26206351	-	218
FBrf0097775	-	-	229--256	Journal of Experimental Biology	paper	14187297	-	41
FBrf0108689	-	14	1909--1915	Journal of Experimental Biology	paper	10377272	-	202
FBrf0138458	-	17	3075--3084	Journal of Experimental Biology	paper	11551995	-	204
FBrf0010884	-	-	134--141	Journal of Experimental Biology	paper	-	-	33
FBrf0207744	10.1242/jeb.025502	9	1324--1335	Journal of Experimental Biology	paper	19376953	-	212
FBrf0187946	10.1242/jeb.01788	19	3645--3654	Journal of Experimental Biology	paper	16169942	-	208
FBrf0159072	10.1242/jeb.00233	7	1183--1192	Journal of Experimental Biology	paper	12604578	-	206
FBrf0184113	10.1242/jeb.01529	Pt 7	1239--1246	Journal of Experimental Biology	paper	15781884	-	208
FBrf0222077	10.1242/jeb.083535	15	2896--2901	Journal of Experimental Biology	paper	23619414	-	216
FBrf0224124	10.1242/jeb.080192	4	570--579	Journal of Experimental Biology	paper	24198264	-	217
FBrf0152168	-	24	3799--3807	Journal of Experimental Biology	paper	12432004	-	205
FBrf0184117	10.1242/jeb.01374	Pt 1	93--104	Journal of Experimental Biology	paper	15601881	-	208
FBrf0239162	10.1242/jeb.179598	12	jeb179598	Journal of Experimental Biology	paper	29739833	-	221
FBrf0233062	10.1242/jeb.142158	15	2358--2367	Journal of Experimental Biology	paper	27489218	-	219
FBrf0217444	10.1242/jeb.064980	5	814--821	Journal of Experimental Biology	paper	22323204	-	215
FBrf0127491	-	3	447--457	Journal of Experimental Biology	paper	10637174	-	203
FBrf0160540	10.1242/jeb.00429	14	2399--2408	Journal of Experimental Biology	paper	12796457	-	206
FBrf0235115	10.1242/jeb.150805	7	1187--1191	Journal of Experimental Biology	paper	28104798	-	220
FBrf0160989	10.1242/jeb.00367	12	2031--2038	Journal of Experimental Biology	paper	12756285	-	206
FBrf0220913	10.1242/jeb.076208	6	939--951	Journal of Experimental Biology	review	23447663	-	216
