#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0213457	10.1242/jcs.073916	9	1589--1600	Journal of Cell Science	paper	21486956	-	124
FBrf0159039	10.1242/jcs.00463	11	2321--2332	Journal of Cell Science	paper	12730292	-	116
FBrf0241561	10.1242/jcs.222018	5	jcs222018	Journal of Cell Science	paper	30659113	-	132
FBrf0219299	10.1242/jcs.095208	13	3114--3123	Journal of Cell Science	paper	22454519	-	125
FBrf0225319	-	9	-	Journal of Cell Science	supplementary material	-	FBrf0223543	124
FBrf0230588	10.1242/jcs.176230	1	121--134	Journal of Cell Science	paper	26585311	-	129
FBrf0234378	10.1242/jcs.179952	1	97--103	Journal of Cell Science	paper	27034137	-	130
FBrf0207980	10.1242/jcs.041798	11	1747--1758	Journal of Cell Science	paper	19417004	-	122
FBrf0221764	10.1242/jcs.124438	10	2285--2293	Journal of Cell Science	paper	23525006	-	126
FBrf0208280	10.1242/jcs.041806	14	2360--2370	Journal of Cell Science	paper	19531586	-	122
FBrf0058826	-	3	721--727	Journal of Cell Science	paper	8408299	-	105
FBrf0220862	10.1242/jcs.107490	23	5667--5676	Journal of Cell Science	paper	22976306	-	125
FBrf0223978	10.1242/jcs.134056	3	557--570	Journal of Cell Science	paper	24284068	-	127
FBrf0239383	10.1242/jcs.209551	13	jcs209551	Journal of Cell Science	paper	29848658	-	131
FBrf0155867	-	23	4393--4397	Journal of Cell Science	review	12414986	-	115
FBrf0228516	10.1242/jcs.167825	10	1969--1981	Journal of Cell Science	paper	25908850	-	128
FBrf0238600	10.1242/jcs.212795	7	jcs212795	Journal of Cell Science	review	29618587	-	131
FBrf0030341	-	-	251--266	Journal of Cell Science	paper	411799	-	26
FBrf0105232	-	18	2697--2706	Journal of Cell Science	review	9718363	-	111
FBrf0227527	10.1242/jcs.159988	4	717--727	Journal of Cell Science	paper	25588834	-	128
FBrf0180381	10.1242/jcs.01292	18	4253--4264	Journal of Cell Science	paper	15292401	-	117
FBrf0221131	10.1242/jcs.109066	24	5984--5997	Journal of Cell Science	paper	23038780	-	125
FBrf0219368	10.1242/jcs.097345	14	3367--3379	Journal of Cell Science	paper	22467859	-	125
FBrf0112092	-	24	4501--4512	Journal of Cell Science	paper	10574700	-	112
FBrf0073309	-	6	1557--1569	Journal of Cell Science	paper	7962198	-	107
FBrf0231586	10.1242/jcs.178608	7	1477--1489	Journal of Cell Science	paper	26906422	-	129
FBrf0184067	10.1242/jcs.01644	Pt 6	1139--1150	Journal of Cell Science	paper	15728258	-	118
FBrf0167780	10.1242/jcs.00875	1	3--7	Journal of Cell Science	review	14657268	FBrf0179002	117
FBrf0221411	10.1242/jcs.120592	5	1247--1259	Journal of Cell Science	paper	23378018	-	126
FBrf0224726	10.1242/jcs.143016	8	1829--1839	Journal of Cell Science	paper	24522188	-	127
FBrf0161026	10.1242/jcs.00455	12	2483--2494	Journal of Cell Science	paper	12766186	-	116
FBrf0128130	-	10	1671--1676	Journal of Cell Science	review	10769198	-	113
FBrf0160729	10.1242/jcs.00411	12	2453--2460	Journal of Cell Science	paper	12724352	-	116
FBrf0221098	10.1242/jcs.113043	24	6105--6116	Journal of Cell Science	paper	23097047	-	125
FBrf0058824	-	2	513--518	Journal of Cell Science	paper	7691843	-	105
FBrf0162196	10.1242/jcs.00690	19	3949--3956	Journal of Cell Science	paper	12928329	-	116
FBrf0221311	10.1242/jcs.114462	4	927--938	Journal of Cell Science	paper	23239028	-	126
FBrf0180389	10.1242/jcs.01532	Pt 25	6105--6116	Journal of Cell Science	paper	15546914	-	117
FBrf0155872	10.1242/jcs.00249	3	441--445	Journal of Cell Science	review	12508105	-	116
FBrf0152123	10.1242/jcs.00134	23	4707--4718	Journal of Cell Science	paper	12415014	-	115
FBrf0213557	10.1242/jcs.081216	10	1664--1671	Journal of Cell Science	paper	21511728	-	124
FBrf0130271	-	21	3681--3682	Journal of Cell Science	review	11034894	-	113
FBrf0179537	10.1242/jcs.01240	16	3571--3578	Journal of Cell Science	paper	15226379	-	117
FBrf0200519	10.1242/jcs.016626	20	3565--3577	Journal of Cell Science	paper	17895362	FBrf0207857	120
FBrf0238422	10.1242/jcs.205807	6	jcs205807	Journal of Cell Science	paper	29487176	-	131
FBrf0027735	-	-	113--121	Journal of Cell Science	paper	1141389	-	18
FBrf0046671	-	1	197--201	Journal of Cell Science	paper	3667714	-	87
FBrf0236194	10.1242/jcs.197830	23	4319--4320	Journal of Cell Science	autobiography	27909075	-	129
FBrf0030342	-	-	309--327	Journal of Cell Science	paper	599177	-	28
FBrf0091388	-	12	2779--2788	Journal of Cell Science	paper	9013326	-	109
FBrf0208223	10.1242/jcs.044818	14	2543--2553	Journal of Cell Science	paper	19549687	-	122
FBrf0089702	-	6	1359--1368	Journal of Cell Science	paper	8799824	-	109
FBrf0152121	10.1242/jcs.00157	22	4215--4225	Journal of Cell Science	review	12376554	-	115
